name,team,runners_on_base,pitches_seen,pitch_in_play,result
Stowers,Louisville,0,4,Curveball,Pop-up
Snider,Louisville,0,2,Changeup,Single
Mann,Louisville,0,4,Fastball,Double Play
Acker,George Mason,0,4,Fastball,Walk
Driscoll,George Mason,1,2,Fastball,Single
Kelly,George Mason,2,4,Fastball,Walk
Quinn,George Mason,2,7,Curveball,Walk
Nelin,George Mason,3,4,Slider,Fly Out
Morgan,George Mason,2,2,Fastball,Home Run
Popatak,George Mason,0,4,Slider,Strike Out
Aponte,George Mason,0,6,Fastball,Single
Smith,George Mason,1,7,Fastball,Double
Acker,George Mason,1,4,Curveball,Strike Out
Wyatt,Louisville,0,5,Changeup,Line Out
Stringer,Louisville,0,4,Changeup,Single
Britton,Louisville,1,2,Curveball,Hit by pitch
Lavey,Louisville,2,1,Changeup,Double
Campbell,Louisville,2,5,Fastball,Triple
Fitzgerald,Louisville,1,5,Fastball,Fly Out
Stowers,Louisville,0,6,Changeup,Walk
Snider,Louisville,1,5,Slider,Single
Mann,Louisville,1,4,Curveball,Fly Out
Driscoll,George Mason,0,5,Curveball,Fly Out
Kelly,George Mason,0,4,Curveball,Strike Out
Quinn,George Mason,0,1,Fastball,Single
Nelin,George Mason,1,1,Fastball,Single
Morgan,George Mason,2,3,Changeup,Strike Out
Wyatt,Louisville,0,5,Slider,Strike Out
Stringer,Louisville,1,5,Fastball,Walk
Britton,Louisville,1,6,Slider,Ground Out
Lavey,Louisville,1,7,Changeup,Fly Out
Popatak,George Mason,0,7,Curveball,Strike Out
Aponte,George Mason,0,8,Slider,Walk
Smith,George Mason,1,4,Fastball,Pop Out
Acker,George Mason,1,5,Fastball,Walk
Driscoll,George Mason,2,3,Curveball,Single
Kelly,George Mason,2,4,Slider,Strike Out
Campbell,Louisville,0,2,Fastball,Hit by pitch
Fitzgerald,Louisville,1,2,Fastball,Pop Out
Stowers,Louisville,1,3,Slider,Fly Out
Snider,Louisville,1,3,Fastball,Single
Mann,Louisville,2,3,Changeup,Single
Wyatt,Louisville,2,6,Changeup,Pop Out
Quinn,George Mason,0,6,Slider,Strike Out
Nelin,George Mason,0,3,Curveball,Strike Out
Morgan,George Mason,0,7,Slider,Walk
Stringer,Louisville,0,6,Sinker,Fly Out
Britton,Louisville,0,3,Changeup,Ground Out
Lavey,Louisville,0,5,Sinker,Line Out
Popatak,George Mason,0,4,Fastball,Strike Out
Aponte,George Mason,0,6,Fastball,Walk
Smith,George Mason,1,4,Curveball,Strike Out
Acker,George Mason,1,5,Slider,Strike Out
Campbell,Louisville,0,7,Fastball,Walk
Fitzgerald,Louisville,1,2,Fastball,Sac Bunt
Stowers,Louisville,1,9,Sinker,Single
Snider,Louisville,1,9,Changeup,Ground Out
Driscoll,George Mason,0,4,Fastball,Single
Kelly,George Mason,1,1,Slider,Double Play
Quinn,George Mason,0,4,Fastball,Strike Out
Mann,Louisville,0,1,Slider,Hit by pitch
Wyatt,Louisville,1,5,Fastball,Fielder's Choice
Stringer,Louisville,1,1,Fastball,Single
Britton,Louisville,2,10,Fastball,Fly Out
Lavey,Louisville,2,5,Fastball,Ground Out
Campbell,Louisville,1,5,Changeup,Double
Fitzgerald,Louisville,1,5,Slider,Single
Stowers,Louisville,1,3,Curveball,Fly Out
Nelin,George Mason,0,3,Fastball,Fly Out
Morgan,George Mason,0,1,Curveball,Ground Out
Driscoll,George Mason,0,4,Slider,Strike Out
Snider,Louisville,0,4,Fastball,Hit by pitch
Mann,Louisville,1,4,Fastball,Walk
Wyatt,Louisville,2,4,Fastball,Fly Out
Stringer,Louisville,2,3,Changeup,Fly Out
Britton,Louisville,2,2,Slider,Single
Lavey,Louisville,1,1,Curveball,Single
Campbell,Louisville,1,1,Fastball,Strike Out
Aponte,George Mason,0,4,Fastball,Strike Out
Smith,George Mason,0,8,Fastball,Strike Out
Acker,George Mason,0,7,Fastball,Strike Out
Fitzgerald,Louisville,0,5,Fastball,Hit by pitch
Stowers,Louisville,1,1,Curveball,Hit by pitch
Bianco,Louisville,2,1,Curveball,Hit by pitch
Mann,Louisville,3,3,Fastball,Single
Wyatt,Louisville,2,2,Fastball,Fly Out
Stringer,Louisville,2,4,Changeup,Fly Out
Britton,Louisville,2,3,Fastball,Strike Out
Driscoll,George Mason,0,1,Fastball,Double
Kelly,George Mason,1,5,Fastball,Walk
Quinn,George Mason,2,4,Fastball,Strike Out
Nelin,George Mason,2,7,Fastball,Walk
Morgan,George Mason,3,4,Fastball,Fly Out
Callahan,George Mason,2,4,Fastball,Strike Out
